Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Account),Custom field (Business Value),Custom field (Cascading Select),Custom field (Effort),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Founder Sign-off),Custom field (Frustration),Custom field (Incorporated Version),Custom field (Iteration),Custom field (Link to play),Custom field (Morale),Custom field (Parent Link),Custom field (Peer Sign-off),Custom field (Phone Screen Feedback),Custom field (Phone Screen Score),Custom field (QA Completed On),Custom field (Raised During),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team),Custom field (Test Sessions),Custom field (Testing Notes status),Custom field (Testing Status),Custom field (Total Days Spent),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Set Machine Keys with Octopus,AXON-1026,21116,,Task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,cvermeer,cvermeer,cvermeer,06/Sep/16 10:20 AM,08/Sep/16 9:27 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,Getting AntiForgeryExceptions on Prod RedLady boxes because of mis-matched machine keys on the web servers.  For now let's have Octopus set this.,,cvermeer,,,Machine keys;06/Sep/16 3:56 PM;cvermeer;7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7200,,,0,7200,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00bh3:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Sales / Transactions page for Self Onboarding site,AXON-1015,21101,21100,Sub-task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,cvermeer,cvermeer,cvermeer,02/Sep/16 8:19 AM,07/Sep/16 3:58 PM,01/Nov/16 4:03 PM,,,,,,,0,,,,Clean this page up.,,cvermeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00bdr:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Make sites work on HTTPS,AXON-1029,21120,,Task,Done,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jeffesp,jeffesp,jeffesp,06/Sep/16 1:56 PM,07/Sep/16 11:39 AM,01/Nov/16 4:03 PM,,,Public Web,,,,0,,,,"Force insecure to secure, and fix whatever is breaking the site when in https.",,jeffesp,,,https all the things;06/Sep/16 3:44 PM;jeffesp;16200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16200,,,0,16200,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00bhz:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Create Sales/Transaction Forecasting UX,AXON-997,20603,19739,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,edunne,edunne,edunne,24/Aug/16 3:07 PM,06/Sep/16 11:20 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,edunne,,,Done;29/Aug/16 3:54 PM;edunne;5400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5400,,,0,5400,,,,,,,,,,,,,,,,,,29/Aug/16 3:54 PM;edunne;Axon-Sales-Predictions.png;https://giresearch.atlassian.net/secure/attachment/17404/Axon-Sales-Predictions.png,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00b7r:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Update Sales/Transactions Dashboard to Profitability,AXON-998,20604,20110,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,edunne,edunne,edunne,24/Aug/16 3:08 PM,06/Sep/16 11:20 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,edunne,,,Done;29/Aug/16 3:08 PM;edunne;1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1800,,,0,1800,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00b7z:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Create Google Analytics Forecast UX,AXON-884,19532,19739,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,edunne,edunne,edunne,28/Jul/16 2:13 PM,06/Sep/16 11:20 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,edunne,,,Done;30/Aug/16 10:41 AM;edunne;9900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9900,,,0,9900,,,,,,,,,,,,,,,,,,30/Aug/16 10:40 AM;edunne;Nexosis-Axon-Forecasting-Website.png;https://giresearch.atlassian.net/secure/attachment/17500/Nexosis-Axon-Forecasting-Website.png,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i009qn:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Add Search to Forecasting,AXON-1013,20909,20110,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,edunne,edunne,edunne,30/Aug/16 9:21 PM,06/Sep/16 11:20 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"Due: Wed 31 Aug 2016 03:59:59 +0000

Created by Todoist",,edunne,,,Done;06/Sep/16 10:42 AM;edunne;1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1800,,,0,1800,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00bc7:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Windsor Resolution order weirdness,AXON-1002,20702,,Bug,Backlog,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,cvermeer,cvermeer,26/Aug/16 10:45 AM,06/Sep/16 10:06 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"In certain situations, Windsor is not resolving things as we expect.

Example:
IStartEndDatesExtractor is registered in Axon.Core, implemented by MonthlyStartEndDatesExtractor.  Implementation is marked as fallback.
IStartEndDatesExtractor is also registered in Axon.Core, implemented by WeeklyStartEndDatesExtractor.

A class implementing IWorkflowBuilder is registered in RedLady.Workflow that accepts an IStartEndDatesExtractor to its constructor.  That WorkflowBuilder class is getting the Monthly instance, when we expect it to get a Weekly instance.

As a workaround we pass the container itself into the workflowbuilder, and call resolve inside its constructor., and we get the instance we expect.

The theory is that Windsor is 'binding' the dependency graph at registration time to the first instance it finds, but perhaps before the Weekly implementation is registered.",,cvermeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00b8n:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Code Review For AXON-968,AXON-971,20413,20409,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,ealmario,ealmario,19/Aug/16 1:05 PM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,Code review for AXON-968,,ealmario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00avz:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Chart.Groupable.js Plugin bug,AXON-960,20305,19620,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,ealmario,ealmario,17/Aug/16 2:16 PM,06/Sep/16 7:41 AM,01/Nov/16 9:29 AM,,,,,,,0,,,,Investigate why Chart.Groupable.js plugin does not draw labels that have long text,,ealmario,gitlab,,Chart.js bug;19/Aug/16 5:49 PM;ealmario;10800,Chart.js bug;19/Aug/16 5:50 PM;ealmario;28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39600,,,0,39600,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00asf:,,,,,,,,,,Not started,,2016-08-18 15:56:06.211,"18/Aug/16 3:56 PM;gitlab;[Elvin Almario|https://www.nexosisdev.com/u/ealmario] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/8b53fc08856bdbca56a5e85cad6a275127a5151a]:
'Merge branch 'AXON-891' into AXON-960'","18/Aug/16 4:00 PM;ealmario;For Code Review. 
Chart.js can't paint the column when the length of chart area can't accommodate them all. The resolution for now is to reduce the font of the label to 10 px. I also discuss this with Jason.","19/Aug/16 9:04 AM;gitlab;[Elvin Almario|https://www.nexosisdev.com/u/ealmario] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/eb5d4763ef1e326764e454731dcec6ce0103bb8b]:
'Merge remote-tracking branch 'origin/master' into AXON-960'","19/Aug/16 9:25 AM;gitlab;[Elvin Almario|https://www.nexosisdev.com/u/ealmario] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/84c7f8dfdc88daeba7b76c37505a5bb96aa3247e]:
'Merge remote-tracking branch 'origin/master' into AXON-960'",,,,,,,,,,,,,,,
Roll-Up Store Jobs by City/State/Franchise Group,AXON-919,19918,,Task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,10/Aug/16 4:31 PM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,,,gitlab,,,Implementation.;10/Aug/16 5:29 PM;jbledsoe;3600,Implement rollup.;12/Aug/16 2:07 PM;jbledsoe;28800,Implement rollup.;12/Aug/16 2:09 PM;jbledsoe;25200,"Diagnosing job error, fixing and re-running.;15/Aug/16 1:08 PM;jbledsoe;3600",Roll up BSTS results and create dummy jobs using seasonal median.;15/Aug/16 1:54 PM;jbledsoe;16200,Deploy and test.;15/Aug/16 4:13 PM;jbledsoe;5400,,,,,,,,,,,,,,,,,,,,,,,,0,82800,,,0,82800,,,,,AXON-824,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00afj:,,,,,,,,,,Not started,,2016-08-13 15:24:20.034,"13/Aug/16 3:24 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/31dffd011ab3c062478110b033a3df666350eae0]:
'Merge branch 'AXON-919''","15/Aug/16 1:02 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/8a615ec09d94c43b421435f05e0861e2992364f2]:
'Merge branch 'AXON-919''","15/Aug/16 2:46 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/4dad855d4d076c97866ede2601cd45fa7d115cb9]:
'Merge branch 'AXON-919''",,,,,,,,,,,,,,,,
Wendy's File Import Doesn't Properly Archive Files on First Run,AXON-994,20600,,Bug,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,24/Aug/16 9:12 AM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,"If a ""file-archive"" directory doesn't exist in S3, then the Wendy's file import will rename files to ""file-archive"", rather than moving them to the directory.",,gitlab,,,Identify and fix bug.;24/Aug/16 9:24 AM;jbledsoe;3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00b73:,,,,,,,,,,Not started,,2016-08-24 09:39:48.42,"24/Aug/16 9:39 AM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/9b5fd96f1a80e44143c5d153fbb820b8d266a05b]:
'AXON-994 - Require user to explicitly specify whether moving file to path or directory.'",,,,,,,,,,,,,,,,,,
Update FTP Workflow to Support Different File Workflows,AXON-981,20423,20420,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,19/Aug/16 4:34 PM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,"Allow the file workflow name to be a parameter.
Allow different FTP parameters in configuration, or store elsewhere.
",,gitlab,,,Implement/test.;02/Sep/16 4:54 PM;jbledsoe;16200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16200,,,0,16200,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00ay7:,,,,,,,,,,Not started,,2016-09-02 13:15:12.206,"02/Sep/16 1:15 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/5e17f15273716730478d588effd9e7e8a17eefa0]:
'Merge branch 'AXON-981''",,,,,,,,,,,,,,,,,,
"Implement ""Real"" Store Category Hierarchy Generation",AXON-836,19201,,Task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,14/Jul/16 10:16 AM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,,,,,0,TechnicalDebt,,,"Right now the Red Lady workflows don't actually generate city/state categories in the store hierarchy, due to irregularities in store addresses. The current city/state categories were generated by a custom LINQPad script, but the system really needs to use an address standardization service (such as Texas A&M). 

Alternately, we could get a list of markets from Cedar and actually use those.",,jbledsoe,,,Implement/test.;02/Sep/16 5:15 PM;jbledsoe;14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14400,,,0,14400,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i0095z:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Workflow for Regular Ingestion and Pre-Processing of Davco Data,AXON-772,18503,,Task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,29/Jun/16 10:11 AM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,Build a workflow similar to AXON-628 for ingestion and pre-processing of Davco data.,,gitlab,jbledsoe,,Download and verify fixed Davco data.;26/Aug/16 5:02 PM;jbledsoe;7200,Adapt file import to work for DavCo data.;29/Aug/16 12:15 PM;jbledsoe;18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,25200,,,8100,28800,,AXON-796,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i008hz:,,,,,,,,,,Not started,,2016-08-29 15:01:35.744,"29/Aug/16 3:01 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/ed39767f153438eafadc4b560d2f13f7fd1dc80d]:
'Merge branch 'AXON-772''",,,,,,,,,,,,,,,,,,
Build Individual File Workflow for Carlisle File Format,AXON-979,20421,20420,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,19/Aug/16 4:32 PM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,"Abstract common code from the existing workflow.
Use the file name as the market name.",,gitlab,,,Change and test and change and test and change...;23/Aug/16 4:18 PM;jbledsoe;23400,Design rollup across files.;25/Aug/16 12:34 AM;jbledsoe;7200,Change how roll-ups are calculated to support multiple files per date.;26/Aug/16 8:42 AM;jbledsoe;16200,Diagnose and fix massive issue w/ how roll ups are calculated.;26/Aug/16 5:01 PM;jbledsoe;10800,Build/test Carlisle workflows.;31/Aug/16 12:05 PM;jbledsoe;21600,S3 file system fixes to make Carlisle import work.;31/Aug/16 12:30 PM;jbledsoe;14400,Implementation and testing.;02/Sep/16 4:53 PM;jbledsoe;14400,,,,,,,,,,,,,,,,,,,,,,,0,108000,,,0,108000,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00axr:,,,,,,,,,,Not started,,2016-08-23 22:22:40.768,"23/Aug/16 10:22 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/ec2022fc14b7ad88ca5de20c0d9d478eebadf8bd]:
'Merge branch 'AXON-979''","25/Aug/16 5:04 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/baa00c6a7c0567e32cd95e010615f96d44736474]:
'Merge branch 'AXON-979''","31/Aug/16 1:41 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/db1384ed24214fee7ea24a409d6daa8d9a634a27]:
'Merge branch 'AXON-979''","02/Sep/16 9:54 AM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/ae5a8237d99cf41b3e9c89999fe912fa4728070c]:
'Merge branch 'AXON-979''",,,,,,,,,,,,,,,
Code Review for AXON-675,AXON-1001,20701,16927,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,ealmario,ealmario,26/Aug/16 8:51 AM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,Code review for AXON-675 and AXON-674.  AXON-674 is merged into AXON-675,,ealmario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00b8f:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Update Directory Workflow to Support Different File Workflows,AXON-980,20422,20420,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,19/Aug/16 4:33 PM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,Allow the file workflow name to be a parameter.,,gitlab,,,Update directory workflows.;31/Aug/16 12:05 PM;jbledsoe;7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7200,,,0,7200,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00axz:,,,,,,,,,,Not started,,2016-08-31 13:41:09.72,"31/Aug/16 1:41 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/27133907b649bdecb120af16fb359e603914dfcd]:
'AXON-980 - Create franchise-group-specific directory workflows.'",,,,,,,,,,,,,,,,,,
Weather Page Date Range Change Failure,AXON-950,20208,,Bug,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,j.monty,j.monty,16/Aug/16 11:30 AM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,,,,,0,,,,"http://redlady.dev.nexosis.com/weather

When I change the Date Range or any of the other filter setting on the weather screen, the charts don't seem to update.",,j.monty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0|i00apj:,,,,,,,,,,Not started,,2016-08-16 13:54:28.868,16/Aug/16 1:54 PM;jbledsoe;Waiting on weather data to re-import. Should be 2 hours or so.,,,,,,,,,,,,,,,,,,
QueryObservationsStep Throws Exception When No Observations Exist,AXON-931,20022,,Bug,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,13/Aug/16 10:21 PM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,"System.InvalidOperationException: Sequence contains no elements
   at System.Linq.Enumerable.Min[TSource](IEnumerable`1 source)
   at Axon.Data.Workflow.QueryObservationsStep.<ExecuteAsync>d__12.MoveNext() in C:\Program Files (x86)\Jenkins\workspace\Axon (Master)\src\Axon.Data\Axon.Data\Workflow\QueryObservationsStep.cs:line 121",,gitlab,,,Implement fix.;15/Aug/16 4:12 PM;jbledsoe;3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00akn:,,,,,,,,,,Not started,,2016-08-15 16:11:55.145,"15/Aug/16 4:11 PM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/fb03df1ff81099d6a8500d7e7479613938310961]:
'AXON-931 - fix exception when no observation in QueryObservationsStep'",,,,,,,,,,,,,,,,,,
Implement Franchise Group Category Creation in Import File Workflow,AXON-983,20425,20420,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,19/Aug/16 4:37 PM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,The franchise group can be hard-coded in each import file workflow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00ayn:,,,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,
Implement City/State Lookup in Import File Workflow,AXON-982,20424,20420,Sub-task,Accepted,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,19/Aug/16 4:36 PM,06/Sep/16 7:41 AM,01/Nov/16 4:03 PM,,,Workflow Engine,,,,0,,,,"Use the Google Geocoding API that Craig is already using for latitude/longitude, but include that in the file workflow and move the one-time update into a transform.",,gitlab,,,Implementation;23/Aug/16 8:59 AM;jbledsoe;21600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,21600,,,9000,21600,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00ayf:,,,,,,,,,,Not started,,2016-08-23 09:23:05.18,"23/Aug/16 9:23 AM;gitlab;[John Bledsoe|https://www.nexosisdev.com/u/jbledsoe] mentioned this issue in [a commit of development/axon|https://www.nexosisdev.com/development/axon/commit/e40799796a9c0731ce117ce02bce3339acdb8811]:
'Merge branch 'AXON-982''",,,,,,,,,,,,,,,,,,
Add Category Filtering Based on Franchise Group Claim,AXON-985,20427,20420,Sub-task,Canceled,AXON,Axon,software,rsevey,"Software development tasks for the core Axon engine and related development environments including public and internal web applications / interfaces and client specific functionality.

This is NOT for data science research, infrastructure, or anything non-development related. Get off my lawn.",,Medium,,jbledsoe,jbledsoe,jbledsoe,19/Aug/16 4:49 PM,02/Sep/16 1:12 PM,01/Nov/16 4:03 PM,,,Public Web,,,,0,,,,"# Add a claim to each user indicating the user's franchise group.
# Add a claim that allows access to all franchise groups.
# Filter category results based on these claims.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AXON-986,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0|i00az3:,,,,,,,,,,Not started,,,"02/Sep/16 1:12 PM;jbledsoe;[~jeffesp] created the claims in this task, and it sounds like the franchise group execs all want to be able to see each others' data, so category filtering isn't really necessary anymore.",,,,,,,,,,,,,,,,,,
